Species ,Pounds ,Value ,County
"Guitarfish, shovelnose ",405,655.00,San Diego
"Seabass, white ",61,610.00,San Diego
"Sole, fantail ",71,610.00,San Diego
"Shark, swell ",413,588.00,San Diego
"Shark, shortfin mako ",327,441.00,San Diego
"Ray, bat ",425,425.00,San Diego
"Shark, spiny dogfish ",353,353.00,San Diego
"Hagfish, Pacific ",200,200.00,San Diego
"Crab, spider ",151,181.00,San Diego
"Shark, soupfin ",99,165.00,San Diego
"Snail, top ",76,146.00,San Diego
"Hagfish, unspecified ",100,100.00,San Diego
Stingray ,75,75.00,San Diego
"Bonito, Pacific ",64,68.00,San Diego
"Ratfish, spotted ",45,45.00,San Diego
"Whelk, Kellet's ",44,35.00,San Diego
Lingcod ,6,30.00,San Diego
"Limpet, keyhole ",8,16.00,San Diego
"Shark, horn ",15,15.00,San Diego
"Shark, brown smoothhound ",15,15.00,San Diego
"Crab, rock unspecified ",8,8.00,San Diego
"Sole, unspecified ",1,5.00,San Diego
"Mackerel, Pacific ",3,3.00,San Diego
"Crab, yellow rock ",2,2.00,San Diego
"Mackerel, unspecified ",1,1.00,San Diego
"Sardine, Pacific ",1,1.00,San Diego
"Sea urchin, red ","7,479",6566.00,San Diego
"Halibut, California ",849,4743.00,San Diego
"Sheephead, California ",40,197.00,San Diego
"Barracuda, California ",34,51.00,San Diego
All Other Ports Totals: ,"8,401",11557.00,San Diego
